"FileName","FolderPath","Bitrate","Quality","SampleRate","Channels","Duration","Encoding"
"Krig - Feed Me - 01 - Bastard Boss.mp3","D:\Files\Recordings\superpackage.musics\Krig - Discography\Albums\2007 - Krig - Feed Me","Error","Unknown","-","-","-","-"
"Krig - Feed Me - 02 - America's own.mp3","D:\Files\Recordings\superpackage.musics\Krig - Discography\Albums\2007 - Krig - Feed Me","Error","Unknown","-","-","-","-"
"Krig - Feed Me - 03 - Public Static Protected.mp3","D:\Files\Recordings\superpackage.musics\Krig - Discography\Albums\2007 - Krig - Feed Me","Error","Unknown","-","-","-","-"
"Krig - Feed Me - 04 - 777.mp3","D:\Files\Recordings\superpackage.musics\Krig - Discography\Albums\2007 - Krig - Feed Me","Error","Unknown","-","-","-","-"
"Krig - Feed Me - 05 - Throw your pistol away.mp3","D:\Files\Recordings\superpackage.musics\Krig - Discography\Albums\2007 - Krig - Feed Me","Error","Unknown","-","-","-","-"
"Krig - Feed Me - 06 - Rotten MTV.mp3","D:\Files\Recordings\superpackage.musics\Krig - Discography\Albums\2007 - Krig - Feed Me","Error","Unknown","-","-","-","-"
"Krig - Feed Me - 07 - Global Warming.mp3","D:\Files\Recordings\superpackage.musics\Krig - Discography\Albums\2007 - Krig - Feed Me","Error","Unknown","-","-","-","-"
"Krig - Feed Me - 08 - Endless Night.mp3","D:\Files\Recordings\superpackage.musics\Krig - Discography\Albums\2007 - Krig - Feed Me","Error","Unknown","-","-","-","-"
"Krig - Feed Me - 09 - Throw your pistol away (Full Edition).mp3","D:\Files\Recordings\superpackage.musics\Krig - Discography\Albums\2007 - Krig - Feed Me","Error","Unknown","-","-","-","-"
"Krig - Stop the Manipulation - 01 - Foolish Evildoers.mp3","D:\Files\Recordings\superpackage.musics\Krig - Discography\Albums\2008 - Krig - Stop the Manipulation","Error","Unknown","-","-","-","-"
"Krig - Stop the Manipulation - 02 - Globo.mp3","D:\Files\Recordings\superpackage.musics\Krig - Discography\Albums\2008 - Krig - Stop the Manipulation","Error","Unknown","-","-","-","-"
